test_case_id,human_model,case_type,human_overall,ai_overall,verdict,reason
m001-NEG-01,First Principles Thinking,NEG,3.1,4.8,ai,"vs baseline: the baseline refused the measured base rates as evidence until derived and breached the SLA (healthy at T=47, window 20); the routed pass reframed first-principles as probe design (restarts = discriminating interventions) under OODA tempo and met the SLA at T=7. The routed pass still missed the baseline's mechanism win: it never confirmed the true root cause (connection leak in the deploy), stopping at symptom-level confirmation with a 60% suspicion."
m001-POS-01,First Principles Thinking,POS,4.7,4.9,ai,"vs baseline: the baseline derived all numbers correctly but reached float-away, sigma-sensitivity and failure enumeration only as REVIEW-stage afterthoughts; the routed pass added a ranked pre-mortem (float-away as primary failure), a full 8-category inversion gate with never/always reframing, and a P1 provenance audit that converted the 12 mm memory into a 0.5%-agreement verification anchor before the arithmetic."
m002-NEG-01,Second-Order Consequences Thinking,NEG,2.9,4.6,ai,"vs baseline: the human baseline generated five individually plausible downstream chains (vendor-channel trust, change-window consumption, 'patched = targeted', staging-vs-production, regulator signaling), never tested them, and let them accumulate into deferral — the case's reference outcome is a breach before the deferred install. The routed run held the trap with machinery: the m021 tempo pass framed a two-clock race (deploy latency ≈ 50 min vs exploit arrival) with cost-of-delay ≈ $1.7k/hr, the m007 ruin screen priced full distributions and floors (−$12k vs −$420k), the m044 stakeholder pass refuted or bounded every chain against given facts, and the m018 steel-manned deferral was rejected with its own arithmetic (EV ≈ $80k, telemetry given as unavailable in-window) — the v6 AI's step beyond the v5 AI is pricing the deferral position explicitly rather than only refuting it."
m002-POS-01,Second-Order Consequences Thinking,POS,4.7,4.8,ai,"vs baseline: the human baseline carried the full recursion (rebound-after-success, metric-gaming audit, 'market for rat production') early in a single elegant chain, while the non-routed v5 AI reached the same chains only as REVIEW risk notes and lost on depth, efficiency and insight. The routed pass made effects-of-effects a first-class contract output (2+ levels, backfire-chain check, time-horizon separation) and added what the human lacks: a falsifiable payment-vs-census observable, a structural robustness bound (any amateur ceiling < 600/mo leaves growth positive), and quantified exposure per exploit vector from the m019 adversary gate."
m003-NEG-01,"Inversion (Invert, Always Invert)",NEG,3.0,5.0,ai,"vs baseline: the strict-inversion baseline produced the registry-predicted flatline (16 equal-weight workstreams, no wedge, no profit target, no checkpoint). The routed run reached the v5 AI's winning structure but by mechanism, not emergent judgment: steel-manned alternatives, adversary-quantified exposures (cash-flow = 36% of seed), experiment-designed checkpoint, and an R4-capped inversion gate (top-5 + falsifiable checkpoint) that kept the baseline's best causes (cash-flow timing, QC) as bounded defense after the bet. Remaining gap: no local demand data — the checkpoint is the only arbiter, and the adversary pass did not fully price the 'no buyers' branch in dollars."
m003-POS-01,"Inversion (Invert, Always Invert)",POS,5.0,4.9,ai,"vs baseline: the pure-inversion baseline was near-gold (8 categories in one pass, ranked, P/D/R-tagged, <=1/10^6 residual), but the routed pass matched it first-class and closed the v5 AI's two gaps by contract: category-complete enumeration now lands in WHAT/HOW in one pass (the v5 AI needed a second sweep to reach refund-cascade/failover), and the NEVER reframe to a bounded residual moves from REVIEW into WHAT. Residual gap: category distribution rests on industry base rates only (no own-codebase incidents), and the detector's false-positive auto-refund branch needs a review queue."
m004-NEG-01,Occam's Razor + Complexity Awareness,NEG,2.7,4.7,ai,"vs baseline: the pure-Occam baseline (registry's documented weakness: under-explains multi-cause phenomena) selected the newest salient change (the new insert) as the single cause and paid off the two killer facts as background drift — presses 1-3 rose 1.7->5.3 with no equipment change and press 4 was already rising 1.9->2.4 pre-install — so its single fix would leave ~80% of the defect rate in place. The routed dual-route avoided the trap entirely (trap style out of top-3): m018 steel-manned the manager's story into its strongest form and then showed it self-refutes on the cross-press series, m015's additivity check proved the four causes are additive and independent (no interaction term owed, residual <0.2), and the m019 context pass priced the expensive-misdiagnosis path as the adversary's exploit. Residual gap: the routed run costs one extra pass vs the human's cheap (wrong) single-cause answer on efficiency."
m004-POS-01,Occam's Razor + Complexity Awareness,POS,4.8,4.9,ai,"vs baseline: the human baseline priced complexity as a ledger (six observations bought with three touchable entities vs >=5 unverified ghost entities, falsifier per mechanism, cheapest probe first) while the non-routed v5 AI reached the same fix but carried the paranormal hypothesis unpriced through WHY/HOW. The routed m004 pass closed that gap: simplest hypothesis stated, complexity charge quantified (what must be true for the ghost to win), orphan-observation audit for all six items, and probe ordering derived from the price ledger; the m003 inversion gate added >=6 ranked failure categories with a never/always reframing. Residual gap: the human's single continuous parsimony chain is stylistically leaner than the routed packet's modular trace; the splice-heat attribution remains the one unverified item for both sides."
m005-NEG-01,Fermi Estimation / Back-of-the-Envelope,NEG,4.1,4.7,ai,"vs baseline: the pure-Fermi baseline committed the naive bulk-density chain (10^12 kg, ~6 orders off) and recovered only via an insight the style itself does not supply; the routed run rejected the factor at WHY by two independent convergent passes — m001 bounded LWC's order from thermo/visibility first principles without the domain fact, m002's second-order budget showed the reservoir absurdity. Residual gap: the m001 bound's strength depends on the model holding phase/thermo knowledge; a weaker model degrades to a weaker bound, and LWC itself remains non-derivable, so APPROXIMATED must stay the terminal state."
m005-POS-01,Fermi Estimation / Back-of-the-Envelope,POS,4.8,4.8,ai,"vs baseline (v5 human won 4.8/4.2): the routed run now produces the human's canonical artifact — factor chain with units, ranked per-factor error budget, band, claim verdict — as first-class m005 contract outputs, and the dual-route m001+m005 pass plus tempo/closed-scope fast path recover the v5 AI's efficiency deficit (3 → 4.5: invented-factor alternative gated at WHY, no second sweep) while adding P3-priced verdict robustness (what '<50' would jointly require) and the one-sided-error insight. Residual gap: the human's five-line trace is still leaner, and the mandatory m007 ruin gate ran at full-protocol weight for a bounded publish-error exposure — gate proportionality on high_stakes estimate tasks is unresolved."
